period 55    ema 32  fsma 14 ssma 21  abs 0.2502700  profit 0.0320996 winchance 78.85  crit: -0.0006348  gw: 0.0623390    gl: 0.0302394    gwlr: 2.0615  losingMonths: 3    trades 104   2009: 0.0041423  2010 -0.0786588   2011 -0.0275973   2012 0.0066668   2013: -0.0615571  2016: 0.0191494
period 61    ema 29  fsma 12 ssma 20  abs 0.2502700  profit 0.0321138 winchance 80.19  crit: -0.0071257  gw: 0.0680631    gl: 0.0359493    gwlr: 1.8933  losingMonths: 2    trades 106   2009: 0.0641294  2010 -0.0315669   2011 -0.0539906   2012 -0.0028386   2013: -0.0180798  2016: -0.0066161
period 61    ema 29  fsma 14 ssma 20  abs 0.2502700  profit 0.0335903 winchance 79.28  crit: -0.0068868  gw: 0.0729978    gl: 0.0394075    gwlr: 1.8524  losingMonths: 2    trades 111   2009: 0.0646950  2010 -0.0420831   2011 -0.0406876   2012 -0.0047799   2013: -0.0232667  2016: -0.0021195
period 61    ema 29  fsma 15 ssma 20  abs 0.2502700  profit 0.0328263 winchance 79.46  crit: -0.0064375  gw: 0.0765938    gl: 0.0437675    gwlr: 1.7500  losingMonths: 2    trades 112   2009: 0.0614126  2010 -0.0368828   2011 -0.0400200   2012 -0.0076694   2013: -0.0222771  2016: -0.0033818
period 61    ema 29  fsma 16 ssma 20  abs 0.2502700  profit 0.0337428 winchance 79.46  crit: -0.0071025  gw: 0.0777703    gl: 0.0440275    gwlr: 1.7664  losingMonths: 1    trades 112   2009: 0.0622049  2010 -0.0255538   2011 -0.0345945   2012 -0.0000711   2013: -0.0258464  2016: -0.0005084
period 61    ema 29  fsma 17 ssma 20  abs 0.2502700  profit 0.0350191 winchance 78.45  crit: -0.0072354  gw: 0.0800949    gl: 0.0450758    gwlr: 1.7769  losingMonths: 2    trades 116   2009: 0.0615496  2010 -0.0172471   2011 -0.0310501   2012 0.0028060   2013: -0.0151206  2016: -0.0045159
period 62    ema 24  fsma 10 ssma 17  abs 0.2502700  profit 0.0322206 winchance 73.68  crit: -0.0033763  gw: 0.0767757    gl: 0.0445551    gwlr: 1.7232  losingMonths: 3    trades 133   2009: 0.0350779  2010 -0.0094331   2011 -0.1121923   2012 0.0038683   2013: -0.0625328  2016: 0.0106456
period 62    ema 24  fsma 11 ssma 17  abs 0.2502700  profit 0.0322244 winchance 76.52  crit: -0.0025139  gw: 0.0790430    gl: 0.0468185    gwlr: 1.6883  losingMonths: 3    trades 132   2009: 0.0365705  2010 -0.0185343   2011 -0.1100002   2012 -0.0008349   2013: -0.0671777  2016: 0.0120044
period 62    ema 24  fsma 12 ssma 17  abs 0.2502700  profit 0.0327325 winchance 73.48  crit: -0.0026019  gw: 0.0811676    gl: 0.0484351    gwlr: 1.6758  losingMonths: 3    trades 132   2009: 0.0417360  2010 -0.0321266   2011 -0.1129006   2012 -0.0082046   2013: -0.0711550  2016: 0.0070925
period 62    ema 24  fsma 13 ssma 17  abs 0.2502700  profit 0.0323591 winchance 75.19  crit: -0.0026613  gw: 0.0818859    gl: 0.0495268    gwlr: 1.6534  losingMonths: 2    trades 133   2009: 0.0456450  2010 -0.0435491   2011 -0.0985905   2012 -0.0121087   2013: -0.0791031  2016: 0.0068757
period 67    ema 22  fsma 6 ssma 16  abs 0.2502700  profit 0.0319480 winchance 74.58  crit: -0.0053388  gw: 0.0621763    gl: 0.0302282    gwlr: 2.0569  losingMonths: 2    trades 118   2009: -0.0011173  2010 -0.0247098   2011 -0.1030092   2012 -0.0062560   2013: -0.0355151  2016: -0.0290515
period 67    ema 24  fsma 14 ssma 18  abs 0.5005400  profit 0.0324069 winchance 76.24  crit: -0.0048370  gw: 0.0782368    gl: 0.0458298    gwlr: 1.7071  losingMonths: 3    trades 101   2009: 0.0340275  2010 -0.0317198   2011 -0.0670226   2012 0.0315886   2013: -0.0410769  2016: -0.0578328
period 71    ema 22  fsma 9 ssma 14  abs 0.2502700  profit 0.0334330 winchance 82.11  crit: -0.0062382  gw: 0.0713677    gl: 0.0379347    gwlr: 1.8813  losingMonths: 3    trades 123   2009: 0.0080598  2010 0.0018095   2011 -0.0525455   2012 -0.0220900   2013: -0.0664799  2016: -0.0138203
period 71    ema 22  fsma 10 ssma 14  abs 0.2502700  profit 0.0339110 winchance 80.95  crit: -0.0044207  gw: 0.0747840    gl: 0.0408730    gwlr: 1.8297  losingMonths: 3    trades 126   2009: 0.0184401  2010 0.0048391   2011 -0.0425329   2012 -0.0275556   2013: -0.0663852  2016: -0.0140050
period 72    ema 21  fsma 10 ssma 13  abs 0.2502700  profit 0.0339842 winchance 83.09  crit: -0.0042374  gw: 0.0760923    gl: 0.0421080    gwlr: 1.8071  losingMonths: 3    trades 136   2009: -0.0175004  2010 0.0242325   2011 -0.0504705   2012 -0.0381698   2013: -0.0527704  2016: -0.0900648
period 78    ema 21  fsma 12 ssma 15  abs 0.2502700  profit 0.0348962 winchance 76.09  crit: -0.0069777  gw: 0.0916573    gl: 0.0567611    gwlr: 1.6148  losingMonths: 3    trades 138   2009: 0.0702810  2010 -0.0791576   2011 -0.0697460   2012 -0.0182214   2013: -0.0530476  2016: -0.0202305
period 82    ema 18  fsma 6 ssma 13  abs 0.2502700  profit 0.0361269 winchance 77.55  crit: -0.0074667  gw: 0.0825794    gl: 0.0464525    gwlr: 1.7777  losingMonths: 3    trades 147   2009: 0.0140743  2010 -0.0701241   2011 -0.0824689   2012 0.0243154   2013: -0.0322200  2016: -0.0168109
period 82    ema 18  fsma 9 ssma 13  abs 0.2502700  profit 0.0401044 winchance 77.22  crit: -0.0074321  gw: 0.0939943    gl: 0.0538899    gwlr: 1.7442  losingMonths: 3    trades 158   2009: -0.0101715  2010 -0.0928811   2011 -0.0764461   2012 0.0302826   2013: -0.0474313  2016: -0.0237147
period 82    ema 18  fsma 10 ssma 13  abs 0.2502700  profit 0.0373382 winchance 76.25  crit: -0.0060117  gw: 0.0956463    gl: 0.0583081    gwlr: 1.6404  losingMonths: 3    trades 160   2009: 0.0051194  2010 -0.1103651   2011 -0.0750756   2012 0.0153107   2013: -0.0620795  2016: -0.0224671
period 82    ema 24  fsma 12 ssma 17  abs 0.2502700  profit 0.0366113 winchance 79.51  crit: -0.0063431  gw: 0.0899813    gl: 0.0533700    gwlr: 1.6860  losingMonths: 3    trades 122   2009: 0.0504342  2010 -0.0582855   2011 -0.0311141   2012 -0.0241504   2013: -0.0213293  2016: -0.0560016
period 82    ema 24  fsma 15 ssma 17  abs 0.2502700  profit 0.0402042 winchance 80.92  crit: -0.0063525  gw: 0.0990941    gl: 0.0588900    gwlr: 1.6827  losingMonths: 3    trades 131   2009: 0.0379799  2010 -0.0622881   2011 -0.0316745   2012 0.0043278   2013: 0.0093490  2016: -0.0579008
period 87    ema 20  fsma 11 ssma 14  abs 0.2502700  profit 0.0384525 winchance 78.17  crit: -0.0062249  gw: 0.0964851    gl: 0.0580326    gwlr: 1.6626  losingMonths: 3    trades 142   2009: 0.0579014  2010 -0.0735308   2011 -0.0619386   2012 -0.0074197   2013: -0.0363060  2016: -0.0094419
period 97    ema 16  fsma 11 ssma 12  abs 0.5005400  profit 0.0396735 winchance 80.33  crit: -0.0061846  gw: 0.0935047    gl: 0.0538312    gwlr: 1.7370  losingMonths: 3    trades 122   2009: 0.0201187  2010 -0.0402588   2011 -0.0405085   2012 -0.0348899   2013: -0.0585384  2016: -0.0439554
period 115    ema 25  fsma 6 ssma 14  abs 0.0000000  profit 0.0332325 winchance 83.17  crit: -0.0027256  gw: 0.0685397    gl: 0.0353072    gwlr: 1.9412  losingMonths: 3    trades 101   2009: 0.0701927  2010 0.0111788   2011 -0.0247471   2012 -0.0265631   2013: -0.0453560  2016: -0.0537173
period 129    ema 21  fsma 7 ssma 10  abs 0.0000000  profit 0.0332357 winchance 81.67  crit: -0.0035986  gw: 0.0717533    gl: 0.0385176    gwlr: 1.8629  losingMonths: 3    trades 120   2009: 0.0091021  2010 0.0254692   2011 -0.0844556   2012 -0.0100440   2013: -0.0411041  2016: -0.0098308
period 129    ema 21  fsma 8 ssma 10  abs 0.0000000  profit 0.0312586 winchance 81.97  crit: -0.0041415  gw: 0.0713262    gl: 0.0400676    gwlr: 1.7801  losingMonths: 3    trades 122   2009: 0.0029811  2010 0.0316248   2011 -0.0893527   2012 -0.0063673   2013: -0.0361873  2016: -0.0095215
